COMID,GNIS_Name,AreaSqKM,TotDASqKM,DivDASqKM
21436779,Colorado River,0.0945,410603.5251,409000.0023
21436781,Colorado River,0.1251,410612.6556,409009.1328
21436787,Colorado River,0.0648,410624.4591,409020.9363
21436789,Colorado River,21.0258,410653.2708,409049.748
21436793,Colorado River,0.0072,410687.3637,409083.8409
21442599,Colorado River,2.0097,410729.4504,409125.9276
21442601,Colorado River,0.4014,410739.0858,409135.563
21442603,Colorado River,0.3294,410769.027,409165.5042
21436797,Colorado River,0.0072,410801.958,409198.4352
21442605,Colorado River,22.0977,410869.2627,409265.7399
945030301,Colorado River,1.7046,410881.6971,409278.1743
945030300,Colorado River,5.5674,410917.9689,409314.4461
21436807,Colorado River,0.7677,410939.7912,409336.2684
21436809,Colorado River,0.0225,410952.2139,409348.6911
21436815,Colorado River,0.5625,410955.0498,409351.527
21436817,Colorado River,0.0729,410982.12,409378.5972
21436823,Colorado River,0.4302,410985.5472,409382.0244
21436825,Colorado River,5.8248,410993.4051,409389.8823
21436829,Colorado River,0.0198,411000.7014,409397.1786
21436837,Colorado River,3.5847,411008.7726,409405.2498
21436843,Colorado River,0.0378,411039.4878,409435.965
21436849,Colorado River,8.4645,411100.3053,409496.7825
21436853,Colorado River,5.3631,411110.9694,409507.4466
21436049,Colorado River,0,411142.1607,409538.6379
21436857,Colorado River,0.5454,411142.1607,409538.6379
21436859,Colorado River,0.4365,411142.5972,409539.0744
21436863,Colorado River,34.5393,411202.7388,409599.216
21436867,Colorado River,0.0054,411207.1884,409603.6656
945030303,Colorado River,46.9863,411261.6051,409658.0823
945030302,Colorado River,9.468,411336.504,409732.9812
945030304,Colorado River,0.5157,411392.4273,409788.9045
21436875,Colorado River,1.1862,411401.853,409798.3302
945030305,Colorado River,34.2144,411529.1958,409925.673
945030307,Colorado River,3.5028,411583.4658,409979.943
945030306,Colorado River,23.5008,411626.2653,410022.7425
21436883,Colorado River,6.3756,411647.4135,410043.8907
21436885,Colorado River,88.7922,411736.2057,410132.6829
21438171,Colorado River,108.1701,411844.3758,410240.853
21438173,Colorado River,55.5264,411899.9022,410296.3794
21438175,Colorado River,1.6614,411901.5636,410298.0408
21438179,Colorado River,0.7452,411917.7987,410314.2759
21438183,Colorado River,26.2854,412051.3371,410447.8143
21438185,Colorado River,0.1908,412051.5279,410448.0051
21438193,Colorado River,2.5947,412061.2335,410457.7107
21438199,Colorado River,0.2772,412081.5906,410478.0678
21438203,Colorado River,0.2709,412116.5871,410513.0643
945030318,Colorado River,1.9926,412151.8176,410548.2948
945030317,Colorado River,2.4084,412178.5485,410575.0257
21438243,Colorado River,0.7407,412301.0862,410697.5634
21438257,Colorado River,3.2706,412314.4485,410710.9257
21438265,Colorado River,3.0879,412373.196,410769.6732
21438271,Colorado River,0.4671,412385.1579,410781.6351
21438275,Colorado River,2.8548,416207.0574,414603.5346
21438279,Colorado River,1.035,416222.8074,414619.2846
21438283,Colorado River,0.0522,416226.1248,414622.602
21438289,Colorado River,3.4866,416246.2227,414642.6999
21438293,Colorado River,0.0225,416246.2452,414642.7224
21438295,Colorado River,0.0063,416257.6869,414654.1641
21438299,Colorado River,0.5499,416258.2368,414654.714
21438305,Colorado River,1.6452,416262.4884,414658.9656
21438309,Colorado River,1.3815,416265.057,414661.5342
21438313,Colorado River,0.9414,416269.2672,414665.7444
21442597,Colorado River,0.0477,416308.5468,414695.5794
21438319,Colorado River,3.915,416315.862,414702.8946
21438321,Colorado River,0,416325.8205,414712.8531
21438323,Colorado River,1.6452,416327.4657,414714.4983
21438327,Colorado River,0.2709,416327.7366,414714.7692
21438337,Colorado River,0.1989,416338.8624,414725.895
21438339,Colorado River,1.3779,416343.0987,414730.1313
21438343,Colorado River,0.0738,416356.4394,414743.472
21438345,Colorado River,0.0162,416416.5729,414813.0501
21438349,Colorado River,0.7479,416417.3208,414813.798
21438351,Colorado River,1.7361,416419.0569,414815.5341
21438353,Colorado River,0.2286,416419.2855,414815.7627
21438355,Colorado River,0.0441,416419.3296,414815.8068
21438359,Colorado River,0.0945,416419.4241,414815.9013
21438361,Colorado River,0.0846,416473.488,414869.9652
21438365,Colorado River,0.4995,416473.9875,414870.4647
21438377,Colorado River,1.5183,416484.2043,414880.6815
21438369,Colorado River,0.0657,416484.27,414880.7472
21438373,Colorado River,0,416484.27,414880.7472
21438385,Colorado River,1.9152,416487.681,414884.1582
21438387,Colorado River,0.0522,416487.7332,414884.2104
21438389,Colorado River,0.4194,416488.1526,414884.6298
21438391,Colorado River,0.2007,416488.3533,414884.8305
21438397,Colorado River,0.2241,416493.315,414889.7922
21438399,Colorado River,0.189,416493.504,414889.9812
21438403,Colorado River,0.3483,416509.7787,414906.2559
21438405,Colorado River,0.8577,416510.6364,414907.1136
21438407,Colorado River,0.1665,416510.8029,414907.2801
21438409,Colorado River,0,416510.8029,414907.2801
21438419,Colorado River,0.9783,416518.9767,414915.4539
21438425,Colorado River,0.1683,416519.145,414915.6222
21438427,Colorado River,1.4265,416535.2172,414931.6944
21438429,Colorado River,1.9494,416537.1666,414933.6438
21438431,Colorado River,0.0945,416537.2611,414933.7383
21438437,Colorado River,0.0747,416537.3358,414933.813
21438443,Colorado River,0.0684,416553.6195,414950.0967
21438447,Colorado River,0.3681,416553.9876,414950.4648
21438449,Colorado River,0.027,416569.7043,414966.1815
21438455,Colorado River,0.1935,416586.8835,414983.3607
21438459,Colorado River,17.1063,416644.209,415040.6862
21438475,Colorado River,1.5885,416709.2943,415105.7715
21438465,Colorado River,0.8442,416715.6762,415112.1534
21439355,Colorado River,0.3906,416716.0668,415112.544
21439359,Colorado River,0.2376,416731.5036,415127.9808
21439361,Colorado River,0.0873,416757.3867,415153.8639
21439365,Colorado River,0.1782,416767.4307,415163.9079
21439369,Colorado River,0.0477,416788.4241,415184.9013
21439375,Colorado River,0.0522,416806.3179,415202.7951
21439377,Colorado River,0.6813,416817.1377,415213.6149
