COMID,GNIS_Name,AreaSqKM,TotDASqKM,DivDASqKM
10001196, ,0.0216,436774.8771,0.0216
10001298,Colorado River,0.4311,436775.2866,433320.0831
10000010, ,1.0998,436775.9769,1.1214
10001198, ,0.0918,436776.0687,1.2132
10001200,Colorado River,9.1359,436784.4225,433329.219
10010652,Colorado River,0.1242,436784.5467,433329.3432
10001202,Colorado River,0.828,436786.5879,433331.3844
10010654,Colorado River,0.2016,436827.1428,433371.9393
10001204, ,0.0144,436827.1572,0.0144
10001206,Colorado River,0.4104,436827.5532,433372.3497
10001208, ,0.0324,436827.5856,0.0324
10000090, ,0.612,436827.7692,0.6264
10000104, ,0.3771,436827.9627,0.4095
10001210,Colorado River,6.066,436833.6192,433378.4157
10001292, ,0,436833.6192,0
10000152, ,0.2907,436833.9099,0.2907
10010656,Colorado River,0.4815,436834.1007,433378.8972
10001238,Colorado River,0.8055,436834.9062,433379.7027
10001236, ,0.0504,436834.9566,0.0504
10000176, ,0.0297,436834.9863,0.0801
10001212,Colorado River,0.1008,436835.007,433379.8035
10000146, ,0.3285,436873.3047,46.1619
10000148, ,0.1836,436873.8312,46.6884
10000150, ,0.1035,436874.7546,47.2014
10000174, ,0.342,436881.4533,47.8341
10000182, ,0,436882.8204,47.9142
10000186,Ehrenberg Wash,0.0828,436960.3023,125.3961
10001214,Ehrenberg Wash,0.0045,436960.3068,125.4006
10001216,Colorado River,5.8878,436966.2954,433511.0919
10010536,Colorado River,6.9525,436973.2479,433518.0444
10010534,Colorado River,0.0702,437010.1344,433554.9309
10001220, ,0,437070.9699,0
10001218,Colorado River,18.0702,437070.9699,433615.7664
10000554, ,0.3987,437071.3686,0.3987
10000574, ,0.1143,437071.4829,0.513
10000614, ,0.0189,437071.5018,0.0189
10000608, ,0.036,437071.5189,0.549
10000610, ,0.1791,437071.5477,0.1791
10000638, ,0.0909,437071.7889,0.819
10001224,Colorado River,4.3173,437075.2872,433620.0837
10000636, ,1.3437,437108.3856,36.9027
945030155, ,0.2853,437108.9769,38.007
945030154, ,0.171,437194.0818,98.7138
10000722, ,0.9972,437197.5576,102.1896
10000724, ,0.4914,437201.46,106.092
945030340, ,0.0711,437201.5311,106.1631
945030341, ,0.0288,437201.5599,106.1919
945030342, ,0.0027,437201.5626,106.1946
10001228,Colorado River,1.7775,437208.1434,433728.5418
10010658,Colorado River,1.5768,437209.7445,433730.1429
10010660,Colorado River,9.0243,437218.7688,433739.1672
10003804,Colorado River,3.9951,437222.7639,433743.1623
10003808,Colorado River,1.7595,437465.4291,433745.8605
10003810, ,0,437465.4291,0
10003812,Colorado River,0.1368,437465.5659,433745.9973
10001952, ,0.4698,437465.8989,0.4698
10001978, ,0.0558,437465.9547,0.0558
10001970, ,0.2169,437466.1158,0.6867
10001980, ,0.0828,437466.1986,0.7695
10001992, ,0.7785,437467.0329,1.6038
10001998, ,0.0396,437467.0725,1.6434
10003822, ,0.0225,437467.095,1.6659
10003816,Colorado River,4.1913,437480.046,434000.4444
10003820,Colorado River,0.2754,437483.1222,434003.5206
10003826,Colorado River,8.4474,437493.2355,434013.6339
10003830,Colorado River,1.2213,437527.0764,434047.4748
10003832,Colorado River,1.5921,437547.4704,434067.8688
10003838,Colorado River,17.6859,437765.2659,434285.6643
10010624,Colorado River,28.1871,437793.4557,434313.8541
10003842,Colorado River,0.7533,437797.017,434317.4154
10003844,Colorado River,1.0818,437798.0988,434318.4972
945030371, ,4.8951,437801.9121,4.8951
945030372, ,16.9335,437928.3936,131.3766
10010626, ,2.2437,437930.64,133.623
10003976,Colorado River,1.1322,438755.6493,435276.0477
10004000,Colorado River,0.0927,438770.3571,435290.7555
10003846,Colorado River,7.3638,438788.2194,435308.6178
945030190,Colorado River,5.1336,438795.6795,435316.0779
945030191,Colorado River,13.4199,439964.9847,436485.3831
945030399,Colorado River,2.4705,440101.0782,436621.4766
945030400,Colorado River,0.0405,440162.6769,436683.0753
945030192,Colorado River,8.811,440288.7921,436809.1905
10003860,Colorado River,0.9243,440314.0524,436834.4508
945030195,Colorado River,7.4259,440343.8064,436864.2048
945030194,Colorado River,6.894,440357.1417,436877.5401
10003868,Colorado River,0.0414,440357.1939,436877.5923
10003872,Colorado River,0.5688,440366.2407,436886.6391
10003876,Colorado River,45.8397,440435.5722,436955.9706
10003880,Colorado River,0.9999,440442.2142,436962.6126
10003884,Colorado River,0.1008,440499.2751,437019.6735
10003886,Colorado River,0.3069,440499.582,437019.9804
10003894,Colorado River,4.9545,440506.935,437027.3334
10003896,Colorado River,0.0963,440511.2514,437031.6498
10003904,Colorado River,5.1399,440518.5657,437038.9641
10003908,Colorado River,3.5181,440527.212,437047.6104
10003906, ,0,440527.212,0
945030196,Colorado River,0.2574,440527.4694,437047.8678
10003368, ,1.6929,440528.9049,1.6929
10003360, ,0.1125,440529.0174,1.8054
10003384, ,0.3816,440529.2865,0.3816
10003912, ,0.0135,440529.3,0.3951
