20216276,sp_mag,all,0.244,0.365,0.48,15.3,40,cfs,observed,10250800,15,likely_altered_low
20216276,sp_mag,all,5.52,27.07,73.35,274.24,557.37,cfs,model,,,
20216276,sp_mag,dry,4.81,27.41,66.55,269.05,553.65,cfs,model,,,
20216276,sp_mag,moderate,5.26,23.45,75.89,283.29,611.31,cfs,model,,,
20216276,sp_mag,wet,7.90,29.58,74.79,260.84,534.32,cfs,model,,,
20216276,sp_roc,all,0.04,0.05,0.07,0.10,0.17,percent,inferred,,,
20216276,sp_roc,all,0.095238095,0.110246331,0.153846154,0.216666667,0.25,percent,observed,10250800,11,not_enough_observed_data
20216276,sp_tim,all,71.48,128.34,167.05,233.61,297.26,water year day,model,,,
20216276,sp_tim,all,94.6,180,245.5,275.5,294,water year day,observed,10250800,14,not_enough_observed_data
20216276,sp_tim,dry,65.3,117.9,168.4,251,305,water year day,model,,,
20216276,sp_tim,moderate,66.65,132.58,165.77,230.4,292.04,water year day,model,,,
20216276,sp_tim,wet,116.65,147.97,165.87,219.73,276.9,water year day,model,,,
20216276,wet_bfl_dur,all,32,63.78,126.33,189.42,251.88,days,model,,,
20216276,wet_bfl_dur,all,53.5,73,134,171.75,219.5,days,observed,10250800,6,not_enough_observed_data
20216276,wet_bfl_dur,dry,32.95,72.15,150.35,226.48,270.89,days,model,,,
20216276,wet_bfl_dur,moderate,30.8,63.57,121.25,179.41,240.06,days,model,,,
20216276,wet_bfl_dur,wet,32.09,56.65,100.11,158.84,210.91,days,model,,,
20216276,wet_bfl_mag_10,all,0.109,0.1285,0.17,0.24,0.28,cfs,observed,10250800,6,not_enough_observed_data
20216276,wet_bfl_mag_10,all,1.44,6.08,13.98,21.80,30.43,cfs,model,,,
20216276,wet_bfl_mag_10,dry,1.43,6.00,13.76,21.81,30.45,cfs,model,,,
20216276,wet_bfl_mag_10,moderate,1.49,5.98,13.90,21.83,30.41,cfs,model,,,
20216276,wet_bfl_mag_10,wet,1.44,6.52,14.54,21.66,31.21,cfs,model,,,
20216276,wet_bfl_mag_50,all,0.22,0.24,0.29,0.385,0.425,cfs,observed,10250800,6,not_enough_observed_data
20216276,wet_bfl_mag_50,all,1.85,5.45,17.60,29.26,42.19,cfs,model,,,
20216276,wet_bfl_mag_50,dry,1.84,5.15,17.29,28.36,43.36,cfs,model,,,
20216276,wet_bfl_mag_50,moderate,1.84,5.25,17.26,28.84,41.65,cfs,model,,,
20216276,wet_bfl_mag_50,wet,2.41,6.80,19.46,31.58,46.04,cfs,model,,,
20216276,wet_tim,all,10.47,22.65,48.42,99.03,131.1,water year day,model,,,
20216276,wet_tim,all,32,94,135,294,308,water year day,observed,10250800,9,not_enough_observed_data
20216276,wet_tim,dry,9.49,19.65,38.9,84,128.02,water year day,model,,,
20216276,wet_tim,moderate,10.18,22.5,49.1,107.65,144.5,water year day,model,,,
20216276,wet_tim,wet,14.5,31.12,65.5,106.40,128.38,water year day,model,,,
